"","NGenes","Direction","PValue","FDR"
"GO_RESPONSE_TO_TYPE_I_INTERFERON",48,"Up",5.46096623381238e-25,3.36450129665181e-21
"GO_DEFENSE_RESPONSE_TO_VIRUS",111,"Up",2.43472509632448e-13,5.64027245737821e-10
"GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN",13,"Up",2.74644008637147e-13,5.64027245737821e-10
"GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN",11,"Up",6.88373938680391e-13,1.06026795905247e-09
"GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY",43,"Up",1.81100073760703e-12,2.23151510887938e-09
"GO_RESPONSE_TO_INTERFERON_GAMMA",71,"Up",1.07472408723276e-10,1.10356251690684e-07
"GO_CELLULAR_RESPONSE_TO_INTERFERON_GAMMA",59,"Up",1.66690585542215e-09,1.46711528217941e-06
"GO_REGULATION_OF_CELL_KILLING",32,"Up",2.39926484053823e-08,1.68365293104969e-05
"GO_LUMENAL_SIDE_OF_MEMBRANE",21,"Up",2.45948326236767e-08,1.68365293104969e-05
"GO_RESPONSE_TO_VIRUS",166,"Up",4.04171979946433e-08,2.42299078217426e-05
"GO_DIGESTION",56,"Up",4.49665902488442e-08,2.42299078217426e-05
"GO_SOLUTE_PROTON_SYMPORTER_ACTIVITY",18,"Up",4.71934578576387e-08,2.42299078217426e-05
"GO_INTRINSIC_COMPONENT_OF_ENDOPLASMIC_RETICULUM_MEMBRANE",108,"Up",6.62569353775163e-08,3.1400690681606e-05
"GO_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY",29,"Up",9.5944528489429e-08,4.22224457159551e-05
"GO_CYTOKINE_MEDIATED_SIGNALING_PATHWAY",245,"Up",1.19660988816391e-07,4.91487568065189e-05
"GO_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY",8,"Up",1.44753430944036e-07,5.57391180028878e-05
"GO_MHC_PROTEIN_COMPLEX",11,"Up",1.66863429789361e-07,6.04732700548386e-05
"GO_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY",12,"Up",1.98633188853683e-07,6.79877264737524e-05
"GO_MHC_CLASS_I_PROTEIN_COMPLEX",7,"Up",2.33579745654276e-07,7.57413059461049e-05
"GO_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION",40,"Up",2.82989923534419e-07,8.37628719353249e-05
"GO_NEGATIVE_REGULATION_OF_CELL_KILLING",12,"Up",2.85508896387246e-07,8.37628719353249e-05
"GO_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY",18,"Up",4.35369277508587e-07,0.000121923187215018
"GO_POSITIVE_REGULATION_OF_CELL_KILLING",18,"Up",5.13339425878611e-07,0.000137508008819049
"GO_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE",32,"Up",5.38575725169644e-07,0.000138256876782091
"GO_RESPONSE_TO_INTERFERON_ALPHA",18,"Up",5.73422356897749e-07,0.000141314205633881
