"","NGenes","Direction","PValue","FDR"
"MOSERLE_IFNA_RESPONSE",27,"Up",2.83398884964869e-38,1.06019522865357e-34
"BROWNE_INTERFERON_RESPONSIVE_GENES",54,"Up",7.68235458543653e-33,1.4369844252059e-29
"SANA_RESPONSE_TO_IFNG_UP",47,"Up",2.46767148333077e-30,3.07718633971347e-27
"HECKER_IFNB1_TARGETS",60,"Up",1.29350979208716e-29,1.20975503304952e-26
"FARMER_BREAST_CANCER_CLUSTER_1",15,"Up",1.38682860902611e-26,1.03762516527334e-23
"DAUER_STAT3_TARGETS_DN",49,"Up",1.31054974549079e-23,8.17127766313507e-21
"BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE",60,"Up",3.96589967477773e-22,2.1194900976205e-19
"SANA_TNF_SIGNALING_UP",62,"Up",3.37087509039405e-20,1.57630546414552e-17
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",44,"Up",1.8367125846569e-19,7.6346019768905e-17
"BOWIE_RESPONSE_TO_TAMOXIFEN",16,"Up",5.91261354817628e-18,2.21190872837274e-15
"BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS",24,"Up",2.43267932116601e-17,8.27332121862004e-15
"EINAV_INTERFERON_SIGNATURE_IN_CANCER",23,"Up",3.54342315762558e-17,1.10466216938977e-14
"SEITZ_NEOPLASTIC_TRANSFORMATION_BY_8P_DELETION_UP",57,"Up",7.89788053224297e-17,2.27276700547084e-14
"REACTOME_PEPTIDE_CHAIN_ELONGATION",78,"Down",8.93870405493027e-17,2.38854941924958e-14
"BOWIE_RESPONSE_TO_EXTRACELLULAR_MATRIX",16,"Up",1.81235794470268e-16,4.52002071408849e-14
"REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION",94,"Down",2.80314973580833e-16,6.55411447603686e-14
"ROETH_TERT_TARGETS_UP",13,"Up",3.36461573654401e-16,7.40413380612419e-14
"RADAEVA_RESPONSE_TO_IFNA1_UP",44,"Up",3.702856842419e-16,7.69577080416082e-14
"ZHANG_INTERFERON_RESPONSE",18,"Up",6.36234808340779e-16,1.25271285158045e-13
"TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP",128,"Up",3.77899625214575e-15,7.06582263935855e-13
"REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION",98,"Down",3.96637999001683e-15,7.06582263935855e-13
"KEGG_RIBOSOME",80,"Down",5.53215154455537e-15,9.40717224008257e-13
"DER_IFN_ALPHA_RESPONSE_UP",66,"Up",1.18528148948982e-13,1.9278861096441e-11
