"","NGenes","Direction","PValue","FDR"
"MOSERLE_IFNA_RESPONSE",27,"Up",4.45271488054465e-42,1.66576063681175e-38
"BROWNE_INTERFERON_RESPONSIVE_GENES",55,"Up",2.85378923218708e-40,5.33801275880594e-37
"HECKER_IFNB1_TARGETS",59,"Up",1.07442031145624e-36,1.33980212838593e-33
"SANA_RESPONSE_TO_IFNG_UP",48,"Up",4.80572183701839e-36,4.49455134807145e-33
"FARMER_BREAST_CANCER_CLUSTER_1",15,"Up",2.18404995154752e-27,1.63410617374786e-24
"DAUER_STAT3_TARGETS_DN",49,"Up",8.94023206615448e-27,5.57423469324732e-24
"BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE",59,"Up",4.53607171176633e-26,2.42420632481683e-23
"SANA_TNF_SIGNALING_UP",63,"Up",1.09177812856235e-24,5.10542747368969e-22
"EINAV_INTERFERON_SIGNATURE_IN_CANCER",24,"Up",5.22626284799281e-22,2.17238325714901e-19
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",44,"Up",7.20687725731891e-22,2.696092781963e-19
"BOWIE_RESPONSE_TO_TAMOXIFEN",16,"Up",7.63794370426785e-21,2.59759521796964e-18
"RADAEVA_RESPONSE_TO_IFNA1_UP",45,"Up",1.858830351485e-20,5.76138940416585e-18
"BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS",24,"Up",2.0020866681143e-20,5.76138940416585e-18
"BOWIE_RESPONSE_TO_EXTRACELLULAR_MATRIX",16,"Up",1.54385116961827e-19,4.12539087538711e-17
"ZHANG_INTERFERON_RESPONSE",18,"Up",1.92495902931764e-18,4.8008478191182e-16
"DER_IFN_ALPHA_RESPONSE_UP",67,"Up",9.63782611289442e-18,2.25344421802113e-15
"SEITZ_NEOPLASTIC_TRANSFORMATION_BY_8P_DELETION_UP",56,"Up",1.99285228240838e-17,4.38544728734691e-15
"KRASNOSELSKAYA_ILF3_TARGETS_UP",30,"Up",4.03528172413836e-17,8.38666051666756e-15
"TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP",129,"Up",1.81929315013249e-16,3.58209246033982e-14
"ROETH_TERT_TARGETS_UP",13,"Up",5.13149363016781e-16,9.59845883522889e-14
"ZHU_CMV_8_HR_UP",40,"Up",8.96075314164102e-16,1.59629416680377e-13
"UROSEVIC_RESPONSE_TO_IMIQUIMOD",15,"Up",1.75402305662689e-14,2.98263647947327e-12
"KIM_LRRC3B_TARGETS",25,"Up",9.77391115604355e-14,1.58974789716343e-11
"ZHAN_MULTIPLE_MYELOMA_LB_DN",31,"Up",3.90799401673165e-13,6.09158567358045e-11
"LIANG_SILENCED_BY_METHYLATION_2",38,"Up",5.56702318988412e-13,8.33049350134259e-11
